Sexo,Idade,Escolaridade,Bairro de Origem,Distrito,Referência,Local de Atendimento,Programa Vinculado,Tipo de Atendimento
Feminino,35,Médio Incompleto,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,76,Fundamental Incompleto,Fazenda Ermitage,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,33,Fundamental Incompleto,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,62,Fundamental Incompleto,Brejal,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,67,Fundamental Incompleto,Quinta Lebrão,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,46,Fundamental Incompleto,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,34,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,51,Fundamental Incompleto,Pessegueiros ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,36,Médio Completo,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,48,Fundamental Incompleto,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,60,Fundamental Incompleto,Fazenda Ermitage,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,42,Médio Completo,Poço dos Peixes ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,56,Fundamental Incompleto,Fazenda Ermitage,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,70,Fundamental Incompleto,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,46,Médio Completo,Providência ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,68,Fundamental Incompleto,Três Córregos ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,62,Fundamental Incompleto,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,43,Fundamental Incompleto,Pessegueiros ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,43,Fundamental Incompleto,Quinta Lebrão,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,28,Médio Incompleto,Andradas ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,26,Fundamental Completo,Água Quente ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,79,Fundamental Incompleto,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,53,Não Escolarizado,Cruzeiro ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,53,Não Escolarizado,Santa Rita,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,18,Médio Completo,Andradas ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,32,Médio Completo,Quinta Lebrão,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,73,Fundamental Incompleto,Fazenda Ermitage,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,56,Fundamental Incompleto,Pessegueiros ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,28,Fundamental Incompleto,Providência ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,53,Médio Incompleto,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,65,Médio Completo,Fazenda Ermitage,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,26,Médio Completo,Quinta Lebrão,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,26,Médio Incompleto,Quinta Lebrão,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,39,Fundamental Incompleto,Quinta Lebrão,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,27,Fundamental Incompleto,Fischer,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,37,Fundamental Incompleto,Fischer,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,33,Fundamental Incompleto,Quinta Lebrão,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,33,Fundamental Incompleto,Fischer,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,42,Médio Completo,Quinta Lebrão,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,33,Fundamental Incompleto,Fazenda Ermitage,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,38,Médio Completo,Fazenda Ermitage,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,51,Médio Completo,Fazenda Ermitage,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,31,Fundamental Incompleto,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,39,Médio Completo,Fischer,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,28,Médio Incompleto,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,54,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,57,Fundamental Incompleto,Fazenda Ermitage,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,28,Fundamental Incompleto,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,38,Médio Incompleto,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,53,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,43,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,26,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,58,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,79,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,56,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,68,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,64,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,58,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,58,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,61,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,59,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,65,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,34,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,31,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,69,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,37,N/D,Cruzeiro ,,CRAS Prata,CRAS Prata,PAIF,Cadastro Ùnico
Feminino,81,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,49,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,63,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,74,N/D,Fazenda Ermitage,,CRAS Prata,CRAS Prata,PAIF,Cadastro Ùnico
Masculino,45,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,56,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,21,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,48,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,29,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,43,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,40,N/D,Fonte Santa ,1,CRAS Prata,PAIF,Público Geral,Cadastro Ùnico
Feminino,66,N/D,Fonte Santa ,1,CRAS Prata,PAIF,Público Geral,Cadastro Ùnico
Feminino,40,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,37,N/D,Fischer,1,CRAS Prata,PAIF,Público Geral,Cadastro Ùnico
Masculino,37,N/D,Fischer,1,CRAS Prata,PAIF,Público Geral,Cadastro Ùnico
Feminino,46,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,46,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,61,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,55,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,84,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,27,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,61,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,26,N/D,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,40,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,62,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,64,N/D,Prata,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,53,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,56,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,56,N/D,N/D,N/D,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
